,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,fortuna foothills,32,-114,89.6,17,1,6.93,2020-08-10
1,estacion coahuila,32,-115,88.3,14,0,6.71,2020-08-10
2,ensenada,32,-116,66.99,89,0,1.99,2020-08-10
3,primo tapia,32,-117,65.71,82,75,12.57,2020-08-10
4,rosarito,32,-118,64.35,83,0,9.04,2020-08-10
5,rancho palos verdes,32,-119,62.91,84,0,7.65,2020-08-10
6,port hueneme,32,-120,62.55,86,0,6.73,2020-08-10
7,isla vista,32,-121,62.73,86,0,7.25,2020-08-10
8,lompoc,32,-122,62.91,83,1,6.51,2020-08-10
9,lompoc,32,-123,64.71,80,95,6.93,2020-08-10
10,lompoc,32,-124,65.07,83,100,7.52,2020-08-10
11,fortuna foothills,33,-114,88.39,21,1,3.36,2020-08-10
12,algodones,33,-115,87.98,21,1,3.36,2020-08-10
13,imperial,33,-116,68.2,16,1,8.05,2020-08-10
14,poway,33,-117,62.46,88,1,6.93,2020-08-10
15,dana point,33,-118,64.67,81,0,6.93,2020-08-10
16,rancho palos verdes,33,-119,58.21,79,0,6.93,2020-08-10
17,port hueneme,33,-120,55.4,93,1,6.93,2020-08-10
18,lompoc,33,-121,60.93,87,0,4.32,2020-08-10
19,lompoc,33,-122,61.11,84,0,5.97,2020-08-10
20,lompoc,33,-123,62.55,80,100,4.94,2020-08-10
21,lompoc,33,-124,63.81,84,100,6.15,2020-08-10
22,lake havasu city,34,-114,83.41,10,0,4.0,2020-08-10
23,blythe,34,-115,87.8,10,1,2.75,2020-08-10
24,twentynine palms,34,-116,85.41,21,1,3.36,2020-08-10
25,yucaipa,34,-117,68.43,53,1,4.7,2020-08-10
26,hacienda heights,34,-118,64.6,72,1,4.52,2020-08-10
27,malibu,34,-119,58.69,87,1,4.7,2020-08-10
28,isla vista,34,-120,56.07,87,1,5.35,2020-08-10
29,lompoc,34,-121,59.49,90,0,2.73,2020-08-10
30,lompoc,34,-122,60.57,84,0,1.34,2020-08-10
31,morro bay,34,-123,60.21,87,100,2.82,2020-08-10
32,pacific grove,34,-124,62.55,86,100,3.65,2020-08-10
33,kingman,35,-114,84.04,16,1,3.36,2020-08-10
34,bullhead city,35,-115,89.04,4,1,5.82,2020-08-10
35,twentynine palms,35,-116,86.0,17,1,8.05,2020-08-10
36,barstow,35,-117,79.56,17,1,8.05,2020-08-10
37,california city,35,-118,75.43,30,1,6.93,2020-08-10
38,arvin,35,-119,66.97,49,1,5.82,2020-08-10
39,santa maria,35,-120,57.13,93,40,0.22,2020-08-10
40,pismo beach,35,-121,56.98,100,90,1.52,2020-08-10
41,morro bay,35,-122,60.39,92,0,3.09,2020-08-10
42,monterey,35,-123,61.29,94,6,2.15,2020-08-10
43,pacific grove,35,-124,62.37,93,1,1.36,2020-08-10
44,kingman,36,-114,72.54,16,0,1.01,2020-08-10
45,henderson,36,-115,86.86,9,1,9.17,2020-08-10
46,pahrump,36,-116,79.74,12,1,5.1,2020-08-10
47,ridgecrest,36,-117,66.99,24,0,6.51,2020-08-10
48,ridgecrest,36,-118,71.89,25,1,9.17,2020-08-10
49,porterville,36,-119,78.62,47,0,4.7,2020-08-10
50,avenal,36,-120,79.59,47,1,6.93,2020-08-10
51,king city,36,-121,63.46,52,1,1.3,2020-08-10
52,monterey,36,-122,60.4,77,90,3.36,2020-08-10
53,pacific grove,36,-123,61.47,92,0,4.32,2020-08-10
54,half moon bay,36,-124,62.19,90,0,2.17,2020-08-10
55,saint george,37,-114,77.16,9,1,5.82,2020-08-10
56,sunrise manor,37,-115,75.29,16,0,3.44,2020-08-10
57,pahrump,37,-116,79.56,12,1,1.59,2020-08-10
58,pahrump,37,-117,72.0,13,0,5.01,2020-08-10
59,exeter,37,-118,71.08,21,1,5.82,2020-08-10
60,orange cove,37,-119,72.88,64,1,7.05,2020-08-10
61,madera,37,-120,75.72,57,1,8.05,2020-08-10
62,los banos,37,-121,66.34,82,1,8.34,2020-08-10
63,santa cruz,37,-122,59.22,82,90,4.7,2020-08-10
64,half moon bay,37,-123,60.57,90,0,6.42,2020-08-10
65,pacifica,37,-124,60.93,90,0,1.74,2020-08-10
66,saint george,38,-114,57.99,24,0,1.01,2020-08-10
67,saint george,38,-115,64.94,23,0,4.45,2020-08-10
68,pahrump,38,-116,72.73,17,0,5.99,2020-08-10
69,pahrump,38,-117,66.2,13,1,3.36,2020-08-10
70,fallon,38,-118,72.1,18,0,2.21,2020-08-10
71,south lake tahoe,38,-119,59.25,47,1,3.36,2020-08-10
72,merced,38,-120,70.63,46,1,6.02,2020-08-10
73,garden acres,38,-121,75.27,41,1,3.36,2020-08-10
74,concord,38,-122,66.27,43,1,6.87,2020-08-10
75,petaluma,38,-123,57.25,87,1,6.93,2020-08-10
76,healdsburg,38,-124,58.59,88,0,1.5,2020-08-10
77,cedar city,39,-114,71.94,18,0,5.48,2020-08-10
78,west wendover,39,-115,66.2,14,1,12.75,2020-08-10
79,elko,39,-116,59.92,29,56,3.36,2020-08-10
80,fallon,39,-117,53.6,25,1,5.39,2020-08-10
81,fallon,39,-118,76.62,18,0,5.53,2020-08-10
82,fallon,39,-119,72.28,32,1,6.93,2020-08-10
83,south lake tahoe,39,-120,66.76,67,1,3.02,2020-08-10
84,north auburn,39,-121,75.24,44,1,4.7,2020-08-10
85,south yuba city,39,-122,75.87,44,1,8.05,2020-08-10
86,ukiah,39,-123,59.92,93,1,4.7,2020-08-10
87,ukiah,39,-124,56.71,91,0,2.28,2020-08-10
88,west wendover,40,-114,73.63,20,0,8.77,2020-08-10
89,elko,40,-115,67.96,25,1,4.94,2020-08-10
90,elko,40,-116,59.9,26,1,6.22,2020-08-10
91,winnemucca,40,-117,61.25,25,1,3.87,2020-08-10
92,fallon,40,-118,82.4,17,1,17.22,2020-08-10
93,fernley,40,-119,79.23,17,1,17.22,2020-08-10
94,sun valley,40,-120,75.63,28,40,5.82,2020-08-10
95,susanville,40,-121,68.97,32,1,3.36,2020-08-10
96,red bluff,40,-122,82.71,37,1,3.36,2020-08-10
97,red bluff,40,-123,73.04,51,1,3.36,2020-08-10
98,fortuna,40,-124,64.99,72,0,3.87,2020-08-10
99,west wendover,41,-114,80.6,24,1,12.75,2020-08-10
100,elko,41,-115,65.95,30,1,6.93,2020-08-10
101,elko,41,-116,66.96,30,1,6.93,2020-08-10
102,winnemucca,41,-117,76.14,22,1,3.36,2020-08-10
103,winnemucca,41,-118,72.41,20,1,8.05,2020-08-10
104,winnemucca,41,-119,80.01,15,0,4.0,2020-08-10
105,susanville,41,-120,80.01,15,0,4.0,2020-08-10
106,susanville,41,-121,65.71,28,1,11.41,2020-08-10
107,shasta lake,41,-122,74.37,38,1,6.78,2020-08-10
108,shasta lake,41,-123,74.43,52,1,4.36,2020-08-10
109,arcata,41,-124,59.65,82,1,3.36,2020-08-10
